Country Name,"Children in employment, study and work, female (% of female children in employment, ages 7-14)","Contributing family workers, female (% of female employment)","Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)","Employers, female (% of female employment)","Employment in agriculture, female (% of female employment)","Employment in industry, female (% of female employment)","Employment in services, female (% of female employment)","Employment to population ratio, 15+, female (%) (national estimate)","Employment to population ratio, ages 15-24, female (%) (national estimate)",Female headed households (% of households with a female head),"Female legislators, senior officials and managers (% of total)",Firms with female participation in ownership (% of firms),Firms with female top manager (% of firms),GDP (current US$),GDP growth (annual %),GDP per capita (current US$),GDP per capita growth (annual %),"Gross enrolment ratio, pre-primary, female (%)","Informal employment, female (% of total non-agricultural employment)","Labor force participation rate for ages 15-24, female (%) (national estimate)","Labor force participation rate, female (% of female population ages 15+) (national estimate)",Law mandates equal remuneration for females and males for work of equal value (1=yes; 0=no),"Literacy rate, youth female (% of females ages 15-24)","Long-term unemployment, female (% of female unemployment)","Part time employment, female (% of total female employment)","Percentage of female teachers in primary education who are trained, female (%)","Percentage of female teachers in secondary education who are trained, female (%)","Population, female (% of total)",Proportion of seats held by women in national parliaments (%),"School enrollment, primary, female (% gross)","School enrollment, secondary, female (% gross)","School enrollment, tertiary, female (% gross)","Self-employed, female (% of female employment)","Share of youth not in education, employment, or training, female (% of female youth population)","Tertiary education, academic staff (% female)","Unemployment with primary education, female (% of female unemployment)","Unemployment with secondary education, female (% of female unemployment)","Unemployment with tertiary education, female (% of female unemployment)","Unemployment, female (% of female labor force) (national estimate)","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","Wage and salaried workers, female (% of female employment)","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)"
Luxembourg,NaN,0.600000024,NaN,NaN,NaN,NaN,NaN,NaN,76.16279,1.200000048,0.699999988,4.300000191,93,50.40000153,18.79999924,NaN,NaN,NaN,NaN,64873963098,4.07,116612.88,1.65,NaN,NaN,23,53.4,NaN,NaN,28.2,26.7,NaN,NaN,49.89,28.3,NaN,NaN,NaN,7.3,4.64,NaN,28.4,35.8,31.3,5.8,18.1,92.6,NaN
Malaysia,NaN,8.199999809,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5,NaN,NaN,NaN,51.90000153,29.89999962,NaN,NaN,NaN,NaN,3.38069E+11,6.01,11305.9,4.46,NaN,NaN,33.8,53.6,NaN,NaN,NaN,NaN,98.6,97.58,48.37,10.4,NaN,NaN,NaN,25.1,NaN,52.49,11.1,48.4,39,3.2,11.6,74.9,NaN
Malta,NaN,NaN,0.10327,12.64346,3.59925,72.6883,20.38247,97.97914,34.09584,1.600000024,0.400000006,10.60000038,88.69999695,38.90000153,46.70000076,NaN,NaN,NaN,NaN,10737561364,3.46,25125.1,2.5,118.69,NaN,51.7,41.1,NaN,NaN,37.1,29.2,NaN,NaN,50.22,14.3,94.99,80.57,48.04,6.9,13.04,33.61,62.5,20,17.5,5.4,9.6,93.1,NaN
Mexico,NaN,NaN,0.04424,12.84955,1.04287,56.09103,NaN,77.65365,31.0508,NaN,NaN,NaN,NaN,41.20000076,28.79999924,NaN,NaN,NaN,NaN,1.29818E+12,2.25,10353.45,0.9,69.78,NaN,32.2,43.3,NaN,99.08,1,27.7,NaN,NaN,50.26,37.4,103.15,93.46,30.03,NaN,NaN,NaN,NaN,NaN,NaN,4.8,10.3,NaN,NaN
Morocco,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.09881E+11,2.55,3186.61,1.12,53.47,NaN,NaN,25.2,NaN,NaN,NaN,NaN,100,NaN,50.63,17,113.4,NaN,24.09,NaN,NaN,NaN,NaN,NaN,NaN,10.4,19.1,NaN,NaN
Mozambique,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16961127046,7.44,623.2,4.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92.28,NaN,51.2,NaN,99.63,23.5,4.97,NaN,NaN,25.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Myanmar,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.3,29.5,65574726566,7.99,1227.14,7.08,23.89,NaN,NaN,NaN,NaN,96.18,NaN,NaN,NaN,NaN,51.15,5.6,98.29,51.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Nepal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19811974852,5.99,703.18,4.71,83.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93.1,79.03,51.54,29.5,140.63,68.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Netherlands,NaN,0.800000012,0.30416,25.61676,8.95573,87.3437,28.30349,98.15816,65.25854,2.099999905,1.200000048,5.599999905,85.40000153,54.70000076,60.70000076,NaN,NaN,NaN,NaN,8.79635E+11,1.42,52157.41,1.06,95.22,NaN,68.4,58.6,NaN,NaN,38.9,76.8,NaN,NaN,50.39,38.7,104.1,NaN,NaN,12.8,5.49,NaN,36.6,43.5,18.5,6.6,11.3,87.2,NaN
Nicaragua,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11790221756,4.57,1960.49,3.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.72,42.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Norway,NaN,0.200000003,0.69575,29.69427,8.41378,99.09519,39.45578,99.58008,76.29541,0.800000012,1,7.400000095,91.40000153,60.79999924,52.09999847,NaN,NaN,NaN,NaN,4.9834E+11,1.92,97005.5,0.78,98.41,NaN,55.8,62.8,NaN,NaN,11,27.5,NaN,NaN,49.68,39.6,100.12,110.62,91.37,4.3,5.39,45.25,33,32.5,34.2,3.2,6.6,95.6,NaN
Pakistan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,14.39999962,11.69999981,NaN,NaN,NaN,NaN,NaN,NaN,2.44361E+11,4.67,1320.55,2.5,65.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74.45,NaN,48.63,20.7,85.81,36.61,10.67,NaN,NaN,37.21,NaN,NaN,NaN,8.9,12.9,NaN,NaN
Panama,91.06548,6.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5,NaN,NaN,NaN,46.79999924,27.89999962,NaN,NaN,NaN,NaN,49165773079,6.05,12712.43,4.36,NaN,NaN,32.8,49.8,NaN,NaN,NaN,NaN,NaN,NaN,49.85,19.3,NaN,NaN,NaN,29.3,NaN,NaN,NaN,NaN,NaN,6,14.9,70.7,NaN
Philippines,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.29999924,NaN,NaN,NaN,NaN,NaN,2.84834E+11,6.22,2873.09,4.54,NaN,NaN,NaN,50.5,NaN,NaN,NaN,NaN,NaN,NaN,49.5,27.3,NaN,NaN,40.27,NaN,NaN,NaN,NaN,NaN,NaN,6.3,NaN,NaN,NaN
Poland,NaN,4.5,0.46766,25.9513,21.40623,81.08058,30.84604,98.39306,80.84675,2.799999952,10,16.60000038,73.19999695,43.79999924,21.29999924,NaN,NaN,NaN,NaN,5.45159E+11,3.28,14341.86,3.36,NaN,NaN,28.7,48.5,NaN,100,36.2,10.7,NaN,NaN,51.63,24.3,NaN,NaN,NaN,17.7,11.96,NaN,10.5,67.9,21.6,9.6,25.5,82.3,NaN
Portugal,NaN,0.600000024,0.42598,19.89921,15.62841,50.77517,20.32187,86.66272,35.96907,3.099999905,4.099999905,15.5,80.40000153,46.09999847,21.89999962,NaN,NaN,NaN,NaN,2.30117E+11,0.91,22124.37,1.45,90.31,NaN,33.8,53.8,NaN,NaN,58.5,12.3,NaN,NaN,52.58,31.3,106.14,114.97,70.38,14.9,12.28,NaN,47.8,29.8,22.5,14.3,35.4,85.1,NaN
Russian Federation,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.199999809,16.60000038,78.19999695,60.29999924,29.5,NaN,NaN,NaN,NaN,2.05281E+12,0.71,14051.6,-1.07,83.19,NaN,34.3,63.3,NaN,NaN,28.4,5.3,NaN,NaN,53.56,13.6,98.92,99.53,86.17,NaN,NaN,NaN,NaN,NaN,NaN,4.8,14.1,NaN,NaN
Saudi Arabia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.89999962,3.599999905,NaN,NaN,NaN,NaN,7.53832E+11,3.64,24406.48,1.34,18.45,NaN,8.7,20.4,NaN,NaN,NaN,NaN,100,100,43.44,19.9,108.25,93.75,59.85,NaN,NaN,40.49,NaN,NaN,NaN,22,57.9,NaN,NaN
Serbia,100,NaN,0.25024,12.5838,1.39055,82.34304,19.47283,91.11188,62.42112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44210806366,-1.83,6200.17,-1.37,59.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.18,34,101.36,95.41,66.01,NaN,NaN,43.14,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sierra Leone,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5015157816,4.56,794.09,2.29,NaN,NaN,NaN,NaN,NaN,57.2,NaN,NaN,NaN,NaN,50.54,12.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Singapore,NaN,NaN,NaN,25.47448,NaN,75.52369,46.99845,82.18051,67.06734,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.06344E+11,3.26,56007.29,1.93,NaN,NaN,NaN,NaN,NaN,99.9,NaN,NaN,NaN,NaN,50.66,25.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Slovenia,NaN,8,1.76768,20.45455,14.77273,96.46465,NaN,99.87374,75.25253,2,7.599999905,18.20000076,73.5,46.70000076,24,NaN,NaN,NaN,NaN,49530147016,3.11,24020.67,3,92.18,NaN,30.5,52.2,NaN,99.91,53.9,12.5,NaN,NaN,50.42,35.6,99.37,110.53,98.49,16,9.17,NaN,16.9,55.9,27.4,10.5,21.3,84,NaN
South Africa,NaN,0.800000012,NaN,9.58302,9.58302,73.70074,14.13427,80.61301,61.5836,2.5,3.200000048,12,84.69999695,33.90000153,10.19999981,NaN,NaN,NaN,NaN,3.51305E+11,1.63,6498.59,0,NaN,NaN,22.8,46.4,NaN,99.08,36.2,11.9,NaN,NaN,50.85,41.5,97.27,103.81,NaN,11,33.89,NaN,NaN,NaN,NaN,27,55.3,88.2,NaN
Spain,NaN,0.800000012,NaN,NaN,NaN,70.89262,NaN,88.44995,46.51044,3.5,2.200000048,8.5,89.30000305,39.59999847,16,NaN,NaN,NaN,NaN,1.38134E+12,1.36,29718.5,1.66,97.8,NaN,34,53.1,NaN,99.69,53.7,22.7,NaN,NaN,50.89,39.7,105.27,130.41,96.93,13,16.24,NaN,48.4,25,26.6,25.4,52.9,87,NaN
Sweden,NaN,0.200000003,0.89263,25.65616,10.62271,89.08604,39.70758,100,73.57752,1.700000048,0.800000012,7.199999809,91.30000305,63.79999924,44,NaN,NaN,52.5,12.5,5.73818E+11,2.6,59180.2,1.59,95.43,NaN,56,69.1,NaN,NaN,13.8,18.2,NaN,NaN,50.06,44.7,124.26,141.6,75.96,6.2,6.79,NaN,39,38.2,22.7,7.7,21.5,93.8,NaN
Switzerland,NaN,2.5,1.89469,NaN,14.30406,96.45546,NaN,NaN,80.64207,3.299999952,2.400000095,10.19999981,84.09999847,59.70000076,60.90000153,NaN,NaN,NaN,NaN,7.02706E+11,2,85814.59,0.76,104.23,NaN,66.6,62.6,NaN,NaN,39,45.6,NaN,NaN,50.53,31,103.27,98.21,57.71,12.8,6.33,33.96,27.2,48.4,23.9,4.7,8.5,87.2,NaN
Thailand,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.20000076,NaN,NaN,NaN,NaN,NaN,4.0432E+11,0.82,5969.94,0.41,72.6,NaN,NaN,61.7,NaN,NaN,NaN,NaN,NaN,NaN,50.69,6.1,104.08,NaN,60.03,NaN,18.51,60.75,NaN,NaN,NaN,0.8,NaN,NaN,NaN
Trinidad and Tobago,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26175906133,-0.58,19325.39,-1.03,NaN,NaN,NaN,NaN,NaN,99.61,NaN,NaN,NaN,NaN,50.62,28.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Turkey,NaN,29.39999962,0.27964,NaN,1.32244,44.24388,NaN,81.45783,28.54058,1.200000048,31.70000076,17.39999962,50.90000153,26.70000076,22,NaN,NaN,NaN,NaN,7.98782E+11,3.02,10303.7,1.29,NaN,NaN,27.6,30.2,NaN,98.95,26.7,20.6,NaN,NaN,50.84,14.4,NaN,NaN,NaN,39.8,34.98,NaN,40.9,27,32.1,11.8,20.2,60.2,NaN
Uganda,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27760811823,5.18,734.74,1.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.03,35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ukraine,NaN,0.300000012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.800000012,13,14.5,72.5,51.90000153,25.20000076,NaN,37.83708754,NaN,NaN,1.33503E+11,-6.55,3104.66,-1.14,NaN,NaN,32.5,56.1,NaN,99.81,NaN,NaN,NaN,NaN,53.71,11.7,105.06,98.22,88.4,13.8,23.93,NaN,NaN,NaN,NaN,7.5,22.4,85.9,NaN
United Arab Emirates,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.01958E+11,3.08,44238.6,2.56,92.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,100,26.32,17.5,107.11,NaN,34.62,NaN,NaN,31.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN
United Kingdom,NaN,0.400000006,0.79703,29.82233,8.90574,99.7952,NaN,99.7952,73.29938,1.399999976,0.600000024,8,90.59999847,53.70000076,47.79999924,NaN,NaN,NaN,NaN,2.99883E+12,3.07,46412.12,2.3,88.08,NaN,56.1,57,NaN,NaN,30.1,37.1,NaN,NaN,50.74,22.6,108.08,130.4,64.12,10.5,13.1,44.34,29.2,46.4,23.5,5.8,14.8,89.2,NaN
United States,NaN,NaN,1.26415,32.00147,11.61702,95.42985,NaN,98.76638,88.85883,NaN,NaN,NaN,NaN,53.5,47.09999847,NaN,NaN,NaN,NaN,1.73931E+13,2.37,54539.67,1.57,71.67,NaN,53.6,57,NaN,NaN,22.2,NaN,NaN,NaN,50.45,19.3,99.23,98.47,100.7,NaN,NaN,49.11,NaN,NaN,NaN,6.1,12.2,NaN,NaN
Uruguay,NaN,NaN,NaN,8.00046,1.75143,54.96661,NaN,89.22129,31.60845,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57235766825,3.24,16737.97,2.89,NaN,NaN,NaN,NaN,NaN,99.39,NaN,NaN,NaN,NaN,51.75,16.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.4,NaN,NaN,NaN
Vietnam,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,1.86205E+11,5.98,2052.32,4.85,79.86,NaN,NaN,73.3,NaN,NaN,NaN,NaN,100,NaN,50.55,24.3,108.62,NaN,31.23,NaN,NaN,49.05,NaN,NaN,NaN,1.7,NaN,NaN,NaN
Zimbabwe,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14196912500,3.85,931.2,1.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.71,31.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.9,NaN,NaN,NaN
