Country Name,"Children in employment, study and work, female (% of female children in employment, ages 7-14)","Contributing family workers, female (% of female employment)","Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)","Employers, female (% of female employment)","Employment in agriculture, female (% of female employment)","Employment in industry, female (% of female employment)","Employment in services, female (% of female employment)","Employment to population ratio, 15+, female (%) (national estimate)","Employment to population ratio, ages 15-24, female (%) (national estimate)",Female headed households (% of households with a female head),"Female legislators, senior officials and managers (% of total)",Firms with female participation in ownership (% of firms),Firms with female top manager (% of firms),GDP (current US$),GDP growth (annual %),GDP per capita (current US$),GDP per capita growth (annual %),"Gross enrolment ratio, pre-primary, female (%)","Informal employment, female (% of total non-agricultural employment)","Labor force participation rate for ages 15-24, female (%) (national estimate)","Labor force participation rate, female (% of female population ages 15+) (national estimate)",Law mandates equal remuneration for females and males for work of equal value (1=yes; 0=no),"Literacy rate, youth female (% of females ages 15-24)","Long-term unemployment, female (% of female unemployment)","Part time employment, female (% of total female employment)","Percentage of female teachers in primary education who are trained, female (%)","Percentage of female teachers in secondary education who are trained, female (%)","Population, female (% of total)",Proportion of seats held by women in national parliaments (%),"School enrollment, primary, female (% gross)","School enrollment, secondary, female (% gross)","School enrollment, tertiary, female (% gross)","Self-employed, female (% of female employment)","Share of youth not in education, employment, or training, female (% of female youth population)","Tertiary education, academic staff (% female)","Unemployment with primary education, female (% of female unemployment)","Unemployment with secondary education, female (% of female unemployment)","Unemployment with tertiary education, female (% of female unemployment)","Unemployment, female (% of female labor force) (national estimate)","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","Wage and salaried workers, female (% of female employment)","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)"
Bosnia and Herzegovina,NaN,NaN,NaN,7.23483,0.55094,NaN,NaN,69.48683,47.51023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18523988467,1.08,4852.32,1.24,14.4,NaN,NaN,NaN,NaN,99.66,NaN,NaN,NaN,NaN,50.23,21.4,100.4,90.05,54.68,NaN,NaN,43.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Botswana,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15880203581,3.2,7153.45,1.19,NaN,NaN,NaN,NaN,NaN,99.45,NaN,NaN,NaN,NaN,50.04,9.5,NaN,NaN,31.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Brazil,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.41705E+12,0.1,11728.8,-0.78,NaN,NaN,NaN,48.2,NaN,NaN,NaN,NaN,NaN,NaN,50.81,9.9,NaN,NaN,NaN,NaN,NaN,45.41,NaN,NaN,NaN,5.8,NaN,NaN,NaN
Cambodia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,NaN,NaN,NaN,16777820333,7.07,1094.58,5.33,17.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,51.23,20.3,113.14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.3
Canada,NaN,0.100000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.200000048,8.399999619,90.40000153,57.59999847,56.90000153,NaN,NaN,NaN,NaN,1.78378E+12,2.47,50185.48,1.35,NaN,NaN,64.6,61.6,NaN,NaN,12,27,NaN,NaN,50.4,25.1,NaN,NaN,NaN,8,NaN,NaN,20.4,39.5,43.1,6.4,11.9,92,NaN
Chile,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.09999847,24.5,NaN,NaN,NaN,NaN,2.58733E+11,1.88,14566.15,0.8,126.47,NaN,30.6,48.4,NaN,NaN,NaN,25,NaN,NaN,50.67,15.8,98.85,101.21,92.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
China,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.04824E+13,7.3,7683.5,6.76,81.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.48,23.4,104.01,95.44,42.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Colombia,92.6925,NaN,NaN,10.72745,3.26487,50.34229,20.91326,76.09268,45.30956,NaN,6.599999905,14.19999981,79.19999695,47.59999847,39.79999924,NaN,NaN,NaN,NaN,3.78416E+11,4.39,7918.08,3.4,NaN,NaN,46.1,58,NaN,98.95,16.6,26.6,98.71,99.33,50.75,19.9,111.74,102.6,54.83,NaN,NaN,35.78,NaN,NaN,NaN,12,24.3,NaN,NaN
Croatia,NaN,2.299999952,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.099999905,7.099999905,15.5,77.19999695,37.90000153,15.30000019,NaN,NaN,NaN,NaN,57136241867,-0.36,13480.65,0.05,60.66,NaN,28.5,46.4,NaN,NaN,58.4,7.5,NaN,NaN,51.78,23.8,98.71,100.89,80.72,12.4,16.65,48,18.4,65.1,16.2,18.3,46.4,87.6,NaN
Czech Republic,NaN,1.100000024,0.32559,18.13309,13.24619,99.81488,NaN,99.85295,85.2496,1.700000048,1.600000024,23.79999924,74.59999847,47.09999847,21.60000038,NaN,NaN,NaN,NaN,2.07818E+11,2.72,19744.56,2.61,103.59,NaN,26.1,50.9,NaN,NaN,44.2,7.7,NaN,NaN,50.87,19.5,98.88,105.39,77.39,12.8,9.85,NaN,16.4,72.6,10.9,7.4,17.1,87.2,NaN
Denmark,NaN,0.300000012,0,24.47674,10.75581,91.51163,NaN,100,76.33721,1.700000048,0.899999976,9.300000191,89.5,54.09999847,54.90000153,NaN,NaN,NaN,NaN,3.46119E+11,1.26,61330.91,0.75,96.69,NaN,62,58.1,NaN,NaN,24.4,25.4,NaN,NaN,50.37,39.1,100.66,132.19,95.39,5.5,5.36,NaN,27.2,38.8,26.5,6.8,11.5,94.5,NaN
"Egypt, Arab Rep.",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.9,NaN,NaN,NaN,3.01499E+11,2.23,3365.71,-0.01,30.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.13,68.1,49.48,NaN,103.77,85.86,29.92,NaN,NaN,44.41,NaN,NaN,NaN,NaN,NaN,NaN,58.8
Ethiopia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55612228234,10.28,573.57,7.55,24.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,50.09,27.8,95.82,NaN,5.27,NaN,NaN,11.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Finland,NaN,0.400000006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,2.200000048,8.600000381,88.69999695,51.09999847,43,NaN,NaN,NaN,NaN,2.72463E+11,-0.71,49887.9,-1.12,79.43,NaN,52.6,55.5,NaN,NaN,20.3,16.7,NaN,NaN,50.81,42.5,101.4,152.12,97.19,9.3,8.51,NaN,25,48.1,26.9,8,18.4,90.7,NaN
